Name,Status,Launch Service Provider,Rocket,Mission,Net,Pad
Falcon 9 Block 5 | Crew-7,Launch Successful,SpaceX,Falcon 9,Crew-7,08/26/2023 3:27 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA"
Falcon 9 Block 5 | Starlink Group 6-11,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-11,08/26/2023 9:05 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Long March 2D | Yaogan 39 Group 01,Launch Successful,China Aerospace Science and Technology Corporation,Long March 2D,Yaogan 39 Group 01,08/31/2023 3:36 a.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China"
Falcon 9 Block 5 | Starlink Group 6-13,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-13,08/31/2023 10:21 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
PSLV-XL | Aditya-L1,Launch Successful,Indian Space Research Organization,PSLV-XL,Aditya-L1,09/02/2023 2:20 a.m.,"Satish Dhawan Space Centre Second Launch Pad | Satish Dhawan Space Centre, India"
Falcon 9 Block 5 | SDA Tranche 0B,Launch Successful,SpaceX,Falcon 9,SDA Tranche 0B,09/02/2023 10:25 a.m.,"Space Launch Complex 4E | Vandenberg SFB, CA, USA"
Falcon 9 Block 5 | Starlink Group 6-12,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-12,09/03/2023 10:47 p.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA"
Ceres-1S | 4x Tianqi,Launch Successful,Galactic Energy,Ceres-1S,4x Tianqi,09/05/2023 5:34 a.m.,DeFu-15002 mobile launch platform | Sea Launch
Long March 4C | Yaogan 33-03,Launch Successful,China Aerospace Science and Technology Corporation,Long March 4C,Yaogan 33-03,09/06/2023 2:14 p.m.,"Launch Area 4 (SLS-2 / 603) | Jiuquan Satellite Launch Center, People's Republic of China"
H-IIA 202 | XRISM & SLIM,Launch Successful,Japan Aerospace Exploration Agency,H-IIA 202,XRISM & SLIM,09/06/2023 7:42 p.m.,"Yoshinobu Launch Complex LP-1 | Tanegashima Space Center, Japan"
SpaceShipTwo | Galactic 03,Launch Successful,Virgin Galactic,SpaceShipTwo,Galactic 03,09/08/2023 11:22 a.m.,Spaceport America | Air launch to Suborbital flight
Falcon 9 Block 5 | Starlink Group 6-14,Launch Successful,SpaceX,Falcon 9,Starlink Group 6-14,09/08/2023 11:12 p.m.,"Space Launch Complex 40 | Cape Canaveral, FL, USA"
Long March 6A | Yaogan 40,Launch Successful,China Aerospace Science and Technology Corporation,Long March 6A,Yaogan 40,09/10/2023 12:30 a.m.,"Launch Complex 9A | Taiyuan Satellite Launch Center, People's Republic of China"
